token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
backtracking,18,3,0.305779,0.082804,0.222975,1.884713
juego,13,0,0.220841,0.0,0.220841,27.71843
oyun,13,0,0.220841,0.0,0.220841,27.71843
sobre,13,0,0.220841,0.0,0.220841,27.71843
está,21,5,0.356742,0.138007,0.218735,1.37014
diferentes,16,2,0.271804,0.055203,0.216601,2.29975
es,37,15,0.628546,0.414022,0.214525,0.602313
solid,24,7,0.407706,0.19321,0.214496,1.077358
used,24,7,0.407706,0.19321,0.214496,1.077358
fire,19,4,0.322767,0.110406,0.212361,1.547678
bugs,14,1,0.237828,0.027601,0.210227,3.107105
historia,14,1,0.237828,0.027601,0.210227,3.107105
também,14,1,0.237828,0.027601,0.210227,3.107105
issues,35,14,0.594571,0.38642,0.208151,0.621678
awesome,22,6,0.37373,0.165609,0.208122,1.174219
sequel,56,27,0.951313,0.745239,0.206074,0.352218
igual,17,3,0.288791,0.082804,0.205987,1.802251
coming,12,0,0.203853,0.0,0.203853,27.602953
sal,12,0,0.203853,0.0,0.203853,27.602953
although,20,5,0.339755,0.138007,0.201748,1.29975
anterior,20,5,0.339755,0.138007,0.201748,1.29975
otherwise,20,5,0.339755,0.138007,0.201748,1.29975
other,132,74,2.242381,2.042506,0.199875,0.134691
predecessor,28,10,0.475657,0.276014,0.199642,0.785177
porém,15,2,0.254816,0.055203,0.199613,2.206641
and,200,116,3.397547,3.201766,0.19578,0.085625
boa,13,1,0.220841,0.027601,0.193239,3.00019
mejor,13,1,0.220841,0.027601,0.193239,3.00019
plus,13,1,0.220841,0.027601,0.193239,3.00019
quando,13,1,0.220841,0.027601,0.193239,3.00019
стало,13,1,0.220841,0.027601,0.193239,3.00019
solo,21,6,0.356742,0.165609,0.191134,1.107105
sometimes,37,16,0.628546,0.441623,0.186923,0.509204
ao,24,8,0.407706,0.220811,0.186894,0.884713
elements,24,8,0.407706,0.220811,0.186894,0.884713
aquí,11,0,0.186865,0.0,0.186865,27.477422
familiar,11,0,0.186865,0.0,0.186865,27.477422
muita,11,0,0.186865,0.0,0.186865,27.477422
ne,11,0,0.186865,0.0,0.186865,27.477422
nivel,11,0,0.186865,0.0,0.186865,27.477422
ta,11,0,0.186865,0.0,0.186865,27.477422
también,11,0,0.186865,0.0,0.186865,27.477422
universe,11,0,0.186865,0.0,0.186865,27.477422
