token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
ok,1,0,2.105263,0.0,2.105263,30.971353
otherwise,1,0,2.105263,0.0,2.105263,30.971353
oublie,1,0,2.105263,0.0,2.105263,30.971353
parceque,1,0,2.105263,0.0,2.105263,30.971353
passer,1,0,2.105263,0.0,2.105263,30.971353
path,1,0,2.105263,0.0,2.105263,30.971353
patterns,1,0,2.105263,0.0,2.105263,30.971353
perdu,1,0,2.105263,0.0,2.105263,30.971353
physique,1,0,2.105263,0.0,2.105263,30.971353
pieges,1,0,2.105263,0.0,2.105263,30.971353
pis,1,0,2.105263,0.0,2.105263,30.971353
plateforming,1,0,2.105263,0.0,2.105263,30.971353
positioning,1,0,2.105263,0.0,2.105263,30.971353
progress,1,0,2.105263,0.0,2.105263,30.971353
pu,1,0,2.105263,0.0,2.105263,30.971353
pue,1,0,2.105263,0.0,2.105263,30.971353
put,1,0,2.105263,0.0,2.105263,30.971353
qu'ils,1,0,2.105263,0.0,2.105263,30.971353
qu'était,1,0,2.105263,0.0,2.105263,30.971353
rater,1,0,2.105263,0.0,2.105263,30.971353
raté,1,0,2.105263,0.0,2.105263,30.971353
refund,1,0,2.105263,0.0,2.105263,30.971353
repeatitive,1,0,2.105263,0.0,2.105263,30.971353
replace,1,0,2.105263,0.0,2.105263,30.971353
respawn,1,0,2.105263,0.0,2.105263,30.971353
respect,1,0,2.105263,0.0,2.105263,30.971353
right,1,0,2.105263,0.0,2.105263,30.971353
save,1,0,2.105263,0.0,2.105263,30.971353
seemed,1,0,2.105263,0.0,2.105263,30.971353
similaire,1,0,2.105263,0.0,2.105263,30.971353
since,1,0,2.105263,0.0,2.105263,30.971353
