token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
cryptic,1,0,1.04712,0.0,1.04712,29.96378
cualquiera,1,0,1.04712,0.0,1.04712,29.96378
cuan,1,0,1.04712,0.0,1.04712,29.96378
cuelan,1,0,1.04712,0.0,1.04712,29.96378
daga,1,0,1.04712,0.0,1.04712,29.96378
dale,1,0,1.04712,0.0,1.04712,29.96378
deben,1,0,1.04712,0.0,1.04712,29.96378
deberia,1,0,1.04712,0.0,1.04712,29.96378
deberían,1,0,1.04712,0.0,1.04712,29.96378
decepcion,1,0,1.04712,0.0,1.04712,29.96378
decepciono,1,0,1.04712,0.0,1.04712,29.96378
decepción,1,0,1.04712,0.0,1.04712,29.96378
definitiva,1,0,1.04712,0.0,1.04712,29.96378
descuento,1,0,1.04712,0.0,1.04712,29.96378
despedir,1,0,1.04712,0.0,1.04712,29.96378
didn,1,0,1.04712,0.0,1.04712,29.96378
difficult,1,0,1.04712,0.0,1.04712,29.96378
does,1,0,1.04712,0.0,1.04712,29.96378
doesn,1,0,1.04712,0.0,1.04712,29.96378
don,1,0,1.04712,0.0,1.04712,29.96378
down,1,0,1.04712,0.0,1.04712,29.96378
duele,1,0,1.04712,0.0,1.04712,29.96378
each,1,0,1.04712,0.0,1.04712,29.96378
emoción,1,0,1.04712,0.0,1.04712,29.96378
encontrados,1,0,1.04712,0.0,1.04712,29.96378
ending,1,0,1.04712,0.0,1.04712,29.96378
enemy,1,0,1.04712,0.0,1.04712,29.96378
engatusado,1,0,1.04712,0.0,1.04712,29.96378
enough,1,0,1.04712,0.0,1.04712,29.96378
error,1,0,1.04712,0.0,1.04712,29.96378
errores,1,0,1.04712,0.0,1.04712,29.96378
escuchado,1,0,1.04712,0.0,1.04712,29.96378
esfuerzo,1,0,1.04712,0.0,1.04712,29.96378
esperes,1,0,1.04712,0.0,1.04712,29.96378
esperé,1,0,1.04712,0.0,1.04712,29.96378
