token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
complaint,8,0,0.235287,0.0,0.235287,27.809848
cooperative,8,0,0.235287,0.0,0.235287,27.809848
direct,8,0,0.235287,0.0,0.235287,27.809848
host,8,0,0.235287,0.0,0.235287,27.809848
invasions,8,0,0.235287,0.0,0.235287,27.809848
la,8,0,0.235287,0.0,0.235287,27.809848
respect,8,0,0.235287,0.0,0.235287,27.809848
runic,8,0,0.235287,0.0,0.235287,27.809848
talking,8,0,0.235287,0.0,0.235287,27.809848
un,8,0,0.235287,0.0,0.235287,27.809848
personally,19,7,0.558807,0.325581,0.233226,0.779332
several,19,7,0.558807,0.325581,0.233226,0.779332
elemental,11,2,0.32352,0.093023,0.230497,1.798191
prefer,11,2,0.32352,0.093023,0.230497,1.798191
tons,11,2,0.32352,0.093023,0.230497,1.798191
going,41,21,1.205847,0.976744,0.229103,0.303994
always,33,16,0.97056,0.744186,0.226374,0.383154
enjoying,14,4,0.411753,0.186047,0.225706,1.146114
launch,14,4,0.411753,0.186047,0.225706,1.146114
own,44,23,1.29408,1.069767,0.224312,0.274629
