token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
hat,6,4,4.514673,3.700278,0.814395,0.286988
2d-monsterhunter,1,0,0.752445,0.0,0.752445,29.487012
41912197-waetschs-play,1,0,0.752445,0.0,0.752445,29.487012
abhanden,1,0,0.752445,0.0,0.752445,29.487012
abhängig,1,0,0.752445,0.0,0.752445,29.487012
abschließend,1,0,0.752445,0.0,0.752445,29.487012
abwechslung,1,0,0.752445,0.0,0.752445,29.487012
airdash,1,0,0.752445,0.0,0.752445,29.487012
allen,1,0,0.752445,0.0,0.752445,29.487012
allgemeine,1,0,0.752445,0.0,0.752445,29.487012
alten,1,0,0.752445,0.0,0.752445,29.487012
anderes,1,0,0.752445,0.0,0.752445,29.487012
anfühlt,1,0,0.752445,0.0,0.752445,29.487012
angekündigt,1,0,0.752445,0.0,0.752445,29.487012
angriffe,1,0,0.752445,0.0,0.752445,29.487012
animiert,1,0,0.752445,0.0,0.752445,29.487012
anspruchsvolle,1,0,0.752445,0.0,0.752445,29.487012
anstatt,1,0,0.752445,0.0,0.752445,29.487012
anzuschauen,1,0,0.752445,0.0,0.752445,29.487012
arealen,1,0,0.752445,0.0,0.752445,29.487012
artstyle,1,0,0.752445,0.0,0.752445,29.487012
aufgabe,1,0,0.752445,0.0,0.752445,29.487012
aufpassen,1,0,0.752445,0.0,0.752445,29.487012
auftauchen,1,0,0.752445,0.0,0.752445,29.487012
backtracken,1,0,0.752445,0.0,0.752445,29.487012
bedeutung,1,0,0.752445,0.0,0.752445,29.487012
behäbig,1,0,0.752445,0.0,0.752445,29.487012
bekommst,1,0,0.752445,0.0,0.752445,29.487012
benutzen,1,0,0.752445,0.0,0.752445,29.487012
benötigt,1,0,0.752445,0.0,0.752445,29.487012
besiegen,1,0,0.752445,0.0,0.752445,29.487012
besonderes,1,0,0.752445,0.0,0.752445,29.487012
bildschirm,1,0,0.752445,0.0,0.752445,29.487012
bist,1,0,0.752445,0.0,0.752445,29.487012
bitte,1,0,0.752445,0.0,0.752445,29.487012
bleiben,1,0,0.752445,0.0,0.752445,29.487012
blickrichtung,1,0,0.752445,0.0,0.752445,29.487012
blocken,1,0,0.752445,0.0,0.752445,29.487012
bloodborn,1,0,0.752445,0.0,0.752445,29.487012
bossen,1,0,0.752445,0.0,0.752445,29.487012
bossinflation,1,0,0.752445,0.0,0.752445,29.487012
buy,1,0,0.752445,0.0,0.752445,29.487012
böse,1,0,0.752445,0.0,0.752445,29.487012
chancen,1,0,0.752445,0.0,0.752445,29.487012
chaos,1,0,0.752445,0.0,0.752445,29.487012
charm,1,0,0.752445,0.0,0.752445,29.487012
