token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
diejenigen,1,0,0.925069,0.0,0.925069,29.784986
dienen,1,0,0.925069,0.0,0.925069,29.784986
different,1,0,0.925069,0.0,0.925069,29.784986
difficult,1,0,0.925069,0.0,0.925069,29.784986
difficulty,1,0,0.925069,0.0,0.925069,29.784986
direct,1,0,0.925069,0.0,0.925069,29.784986
discovering,1,0,0.925069,0.0,0.925069,29.784986
disk,1,0,0.925069,0.0,0.925069,29.784986
don,1,0,0.925069,0.0,0.925069,29.784986
don't,1,0,0.925069,0.0,0.925069,29.784986
drag,1,0,0.925069,0.0,0.925069,29.784986
