token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
erros,3,0,0.59988,0.0,0.59988,29.160099
esta,3,0,0.59988,0.0,0.59988,29.160099
falando,3,0,0.59988,0.0,0.59988,29.160099
fato,3,0,0.59988,0.0,0.59988,29.160099
feedback,3,0,0.59988,0.0,0.59988,29.160099
fiz,3,0,0.59988,0.0,0.59988,29.160099
forte,3,0,0.59988,0.0,0.59988,29.160099
fortes,3,0,0.59988,0.0,0.59988,29.160099
fã,3,0,0.59988,0.0,0.59988,29.160099
gosta,3,0,0.59988,0.0,0.59988,29.160099
gosto,3,0,0.59988,0.0,0.59988,29.160099
grind,3,0,0.59988,0.0,0.59988,29.160099
gráficos,3,0,0.59988,0.0,0.59988,29.160099
inicial,3,0,0.59988,0.0,0.59988,29.160099
jogador,3,0,0.59988,0.0,0.59988,29.160099
